0,1,2,Final_Marks
-13.092341,6.3169026,-7.8117447,4
-11.828639,6.155203,-6.877592,5
-10.183515,5.590595,-7.9485555,6
-11.488562,6.283216,-7.220059,5
-9.310033,5.658813,-8.057343,6
-9.45721,5.548833,-8.146842,5
-9.633119,5.941322,-7.667166,6
-12.805968,6.305764,-7.359987,4
-11.03616,6.386447,-7.301258,8
-12.441327,6.2673793,-6.8888397,5
-9.985631,5.9478297,-8.20645,5
-10.918575,5.5288568,-7.3291492,5
-10.982762,6.1539173,-6.951601,6
-11.586562,5.4423475,-7.1896176,5
-10.030574,5.727359,-7.4603047,5
-11.009772,6.028406,-7.4005694,5
-11.103416,5.6957827,-7.011908,4
-2.58414,7.600217,14.57146,8
-3.105651,7.00255,14.807912,4
-2.1296291,7.3055463,14.353861,6
-1.3111558,7.7400675,15.3558445,5
-2.711125,7.6111865,14.866343,8
-1.1657115,7.0543685,12.814275,7
-1.9701535,6.8540645,12.497173,6
-1.3489834,6.727292,13.129349,5
-2.4721503,7.3458714,15.240926,5
-2.0019736,7.2013497,14.504383,5
-1.2336751,7.4388394,14.569959,6
-2.7381563,6.792199,14.876681,7
-2.292711,7.5323753,14.380538,8
-0.88267833,6.4334617,14.13819,6
-1.9737368,7.1357493,14.534354,6
-1.3078889,6.98004,13.089751,5
-3.0693657,7.381959,15.163695,6
-2.9559858,7.417449,15.006836,4
-1.3310374,6.997709,13.21801,6
-1.260055,7.0665436,13.062787,8
-2.5975194,7.2817006,15.297267,5
-2.802184,7.1069055,15.278297,7
-2.4848034,6.8743706,15.248085,6
-0.92552745,6.894135,12.691224,6
-1.9833087,6.830941,14.559692,5
-2.291247,6.665102,14.419157,6
-2.1543303,7.339663,14.423386,4
-1.5234425,7.206797,13.39435,6
-1.8664174,7.908791,13.25828,5
-1.5156012,6.4634833,13.154295,5
-1.9129726,7.1656647,14.023243,4
-1.1693168,6.805573,13.223513,6
-2.1337912,7.2472076,14.684313,7
-2.5450292,6.1292734,14.108291,6
-2.6640012,7.0203843,14.414075,5
-1.0409685,7.108957,12.895449,3
-2.5389252,7.1593966,14.300163,6
-2.0916069,6.833148,14.596023,4
-1.482359,7.0144744,13.516297,5
-4.264778,-8.057886,16.00907,6
-4.317401,-7.032518,14.559192,6
-4.2645426,-7.645025,15.3662615,7
-3.9227445,-8.380952,14.711349,5
-4.2620106,-8.461675,14.859387,5
-5.4911084,-8.243235,16.449598,6
-4.0042515,-7.444448,15.538514,8
-5.017255,-7.53515,15.305927,5
-4.9594336,-7.8837886,16.16006,6
-4.2806616,-8.469804,14.868826,6
-2.7919307,-7.6102443,14.028678,6
-3.1052947,-8.074183,15.264493,5
-5.0231013,-8.5100155,16.208326,5
-4.3534794,-8.15977,15.733885,5
-4.843531,-8.3031225,15.569626,5
-3.9439573,-7.747445,15.3590145,6
-5.110007,-8.2771225,15.818486,6
-3.7739697,-8.172917,15.249027,6
-4.11687,-7.754063,15.223804,6
-2.7857606,-7.6070204,14.025985,4
-5.3167644,-7.2762704,16.09742,6
-5.091622,-7.9941583,16.067318,6
-2.7710752,-7.6010313,14.008197,6
-4.852609,-7.8741617,15.195974,6
-5.475994,-8.553214,16.424875,5
-2.9029484,-7.6865773,14.112808,5
-3.5850925,-7.7481976,14.966878,6
-5.024681,-7.9734707,16.12639,7
-4.152853,-8.1493,15.904968,5
-4.354758,-7.744802,15.609175,5
-4.9888906,-8.056783,16.941322,6
-5.526147,-8.370245,16.509295,6
-5.151004,-8.193471,15.691352,6
-4.185562,-7.589785,15.286403,7
-2.7593856,-7.595822,13.997227,5
-4.3725543,-8.244052,15.691971,5
-3.6440005,-7.3992524,16.43276,4
-2.837695,-7.586443,14.053359,7
-4.5122437,-8.452384,15.665985,5
-4.4444137,-7.8537107,15.742696,5
-12.284806,-8.769858,4.9572587,7
-13.445181,-9.815194,6.456104,6
-12.527325,-9.52453,5.7481117,6
-13.230641,-10.083436,6.089512,8
-13.155597,-9.161052,5.727848,6
-12.928188,-9.086069,5.9044685,6
-12.562389,-9.582835,5.8627987,7
-12.541235,-9.804147,5.6683607,8
-12.66832,-9.638239,5.9424334,6
-10.915986,-8.025352,4.7264695,6
-12.660434,-8.759603,4.957811,5
-11.198757,-8.253957,4.9630957,6
-12.504801,-9.942846,5.2399235,6
-13.037983,-9.741461,5.240318,9
-11.29159,-8.302549,4.976617,8
-13.385057,-10.093036,5.5953507,7
-13.054336,-9.205121,6.1669717,6
-13.112281,-9.460985,5.272156,8
-11.136982,-8.465905,5.311315,9
-11.264683,-8.237834,4.947257,6
-13.674265,-9.31471,5.4131236,5
-11.140147,-8.451815,5.301047,7
-10.355373,-7.5871515,4.2381945,6
-11.332415,-8.349867,5.0489,6
-12.9967375,-9.091512,5.47578,6
-12.502582,-9.4397335,5.677695,6
-12.71945,-9.334704,6.1710567,6
-13.646476,-8.978739,5.7191515,5
-13.375326,-9.880675,6.06722,6
-12.548782,-9.13039,6.1373506,6
-13.047627,-9.737198,5.314106,9
-12.907288,-9.038501,5.7852235,6
-12.596296,-9.014551,5.691441,5
-12.888084,-9.583637,4.922429,8
-14.069525,-10.433883,6.300094,6
