0,1,2,Final_Marks
4.58151,16.116102,0.80303174,6
4.4348416,16.1204,0.16399826,7
4.443669,14.65541,0.38322058,3
4.5103407,16.04872,0.11019402,10
4.3941407,15.224184,-0.08357009,6
4.269944,15.419196,-0.005655255,7
4.6022053,15.90479,0.13358568,9
3.8307974,17.19873,1.0970994,4
4.063433,17.116722,0.5289637,9
4.3380203,16.916977,0.27502978,6
3.6873462,14.458046,-0.23237182,7
5.0124645,16.190222,0.6935828,6
3.9547696,17.143887,1.0901843,2
4.4478464,16.001541,0.12502298,7
4.3441253,16.808638,-0.10271263,7
3.4771953,15.237832,-0.010495815,7
4.332202,17.026182,0.46334457,9
3.6279078,14.292638,-0.09220908,5
4.6967773,16.134405,-0.14881176,6
4.4103003,14.6245775,-0.7018955,5
3.794307,17.001175,0.48908213,7
-5.681367,-10.373655,2.6976187,8
-6.200442,-11.601296,4.1478157,5
-5.3747706,-10.9403925,3.8130221,6
-5.658877,-11.453532,4.192998,5
-6.1619616,-12.558981,4.7807326,6
-5.800545,-10.61019,2.865519,5
-6.4301434,-12.878787,4.8340287,8
-5.7773066,-12.187903,4.4256477,5
-6.421865,-11.337574,4.1451206,5
-6.7156696,-12.077585,3.9825034,10
-5.374482,-10.627168,3.4390428,7
-6.28089,-11.999233,3.7083526,7
-6.1344295,-11.207857,3.8639467,6
-5.550321,-10.428331,2.9801085,5
-6.5133014,-12.526388,4.4567976,6
-6.3999953,-13.754738,4.323859,2
-7.044424,-11.852971,4.7504396,7
-6.095653,-11.448705,3.4657612,7
-7.583215,-11.421751,4.609763,4
-5.6584735,-10.290491,2.6122558,9
-6.4911942,-11.896119,4.2669973,9
-6.2743526,-12.528989,4.8923244,6
-6.572858,-11.906321,3.9500978,7
-6.531269,-12.301491,4.1143193,8
-5.485432,-10.281005,3.023481,5
-6.011616,-12.001208,3.745952,9
-5.836782,-12.293686,4.063468,5
-6.194808,-12.168143,5.6665277,2
-6.5133014,-12.526388,4.4567976,9
-6.018427,-11.904214,3.8515587,8
-6.4494233,-11.76295,3.476852,8
-6.634267,-11.159036,3.4972868,5
-6.4250565,-13.743886,4.349927,3
-6.581401,-12.124798,3.9488475,7
-5.8349137,-12.435707,4.1797657,4
-5.769926,-12.135363,2.898418,5
-6.466339,-11.61837,4.243225,9
-6.2555256,-11.695249,3.4150546,7
-5.9153857,-11.753709,4.547354,5
-5.9271293,-11.164282,3.2766464,5
-8.563298,-2.225437,13.870947,6
-8.266275,-2.9165382,13.358147,7
-8.75757,-3.665437,14.36098,7
-8.5782385,-3.7770152,13.295816,4
-8.030575,-3.415725,14.149442,5
-8.22407,-2.9425387,13.321585,10
-8.079244,-2.8563356,13.555248,9
-8.883294,-2.9378273,13.328557,6
-8.657075,-2.5029223,13.955062,6
-8.689102,-3.4961429,12.977714,6
-8.19458,-1.9493402,12.471751,2
-8.095183,-2.647916,13.546353,5
-6.936499,-4.0223503,13.459614,8
-8.143306,-3.3246963,13.886049,7
-6.9332747,-4.0230627,13.44901,6
-8.60254,-3.1636953,13.847649,7
-8.312644,-2.9121463,12.860254,5
-9.584813,-2.619871,12.905129,3
-8.556304,-2.266329,12.81331,6
-7.9721284,-3.000289,14.452198,5
-8.5782385,-3.7770152,13.295816,5
-8.943668,-1.9828229,13.229075,4
-8.636176,-3.169339,13.828666,8
-8.111486,-2.9247577,13.383133,8
-8.943668,-1.9828229,13.229075,5
-7.9721284,-3.000289,14.452198,5
-6.2206564,-10.785323,5.995146,3
-8.883294,-2.9378273,13.328557,6
-8.943668,-1.9828229,13.229075,5
-6.2211313,-10.78515,5.994012,3
-8.748434,-3.5037863,12.9823885,7
-8.865517,-2.9592042,13.709828,6
-8.076017,-3.0387492,13.485745,7
-8.842676,-2.975383,13.680858,5
-8.60254,-3.1636953,13.847649,8
-8.543106,-2.1676307,13.816082,7
-6.2211313,-10.78515,5.994012,3
1.3800932,-4.741371,2.582522,6
1.326374,-4.5607066,1.9938068,6
1.922467,-5.980968,2.6338353,5
1.6430056,-6.4577737,2.404064,5
1.5975943,-6.8532925,3.1870105,6
1.3305918,-4.624168,0.6352655,6
1.4375587,-6.844782,3.153035,5
1.1728504,-6.614305,1.8680099,5
1.9210043,-5.9828095,2.6283686,5
1.6115848,-6.474747,2.378464,6
1.1414541,-4.248438,0.015002939,9
1.3434412,-6.084585,2.5040958,5
1.2838093,-4.5669794,0.5812549,5
1.2286605,-6.4665346,3.2534919,5
1.9349626,-6.565453,2.5198534,6
1.1186558,-4.2044544,-0.0571637,7
1.6689334,-5.9014473,2.3588755,5
1.3225387,-6.1727815,2.5063643,4
1.2124983,-4.4090915,0.3084293,5
1.1783023,-6.5782986,3.1576502,5
1.379627,-4.7471204,2.5996609,8
1.2104055,-4.3550553,0.19341701,6
2.0745127,-6.56851,2.4395893,5
1.4070655,-6.1164746,2.4187043,5
1.7650306,-6.61659,3.3518665,6
1.9360366,-6.057402,2.524941,5
1.3798385,-4.7543225,0.78975147,6
1.5943439,-6.4003463,3.4273822,6
1.2523539,-6.440231,3.2801921,6
1.2928236,-4.5860844,0.6134938,6
1.5943439,-6.4003463,3.4273822,6
1.9210043,-5.9828095,2.6283686,6
1.4882307,-6.8543897,3.1453605,7
1.1559279,-4.2691627,0.049804002,7
1.1186633,-4.204384,-0.057098426,8
1.2928135,-4.58614,0.6133918,6
1.8851547,-4.678925,0.5170674,4
1.7650306,-6.61659,3.3518665,6
1.922467,-5.980968,2.6338353,5
-11.473314,-4.6057677,4.2151237,6
-10.868232,-3.9380438,2.4000566,6
-10.942287,-3.996654,2.5220215,6
-13.096463,-3.3363605,3.3525884,9
-13.258433,-3.35436,3.5281944,9
-13.0706,-3.171229,3.6255484,6
-11.473314,-4.6057677,4.2151237,5
-10.941939,-3.9964669,2.5223663,7
-13.119024,-3.3400462,3.3941312,10
-11.045877,-3.5123131,2.856023,6
-11.124087,-3.5717452,2.9334903,6
-10.874647,-3.5331364,2.0446706,5
-11.395785,-3.2267466,2.5304444,5
-11.341934,-3.7975564,2.3386776,5
-11.4676,-4.609933,4.2171793,5
-11.128789,-4.329391,2.3423564,5
-11.400383,-3.8456545,2.4966168,6
-11.023768,-3.4264512,2.3103006,6
-13.027206,-3.0928943,3.6367075,6
-13.279524,-3.3552883,3.547222,8
-12.952047,-3.3256743,3.223606,6
-13.189737,-3.1847408,3.7118301,6
-11.473314,-4.6057677,4.2151237,6
-10.868232,-3.9380438,2.4000566,6
