0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Final_Marks
-6.472217277,3.914900487,1.075262518,-4.01499776,-1.830954059,1.725904713,8.706267969,3.422714779,-8.611824049,-0.622194181,-4.073207201,-4.397401351,-1.127158897,-6.017292411,0.708464836,1.144239495,8.196348408,-1.261008628,7.570416519,3.693965825,1.158378934,0.578790712,-4.161153595,1.881638448,-2.94027851,-1.011179865,-4.531940537,2.637322768,0.317494599,0.36851244,1.495084973,0.459557456,0.724344904,0.461201434,-1.347447047,4
-6.943907721,2.570856506,1.275830559,-4.667192822,-1.868570311,2.204967253,8.867198,2.240689744,-8.47928795,-1.401932978,-3.731741165,-4.326167934,-0.998064684,-5.874940326,1.061911252,0.880184757,8.077167613,-1.145742979,6.959862213,3.522998648,1.280238984,-0.31452671,-3.795631354,1.437003399,-3.53951369,-1.689649011,-3.766692511,3.148301963,0.58238982,0.151888148,0.865166565,1.376954227,0.747054387,-0.153494307,-0.825203983,6
-6.25064054,3.173258827,2.04727085,-2.688602945,-4.109617411,-0.737595448,11.83885574,4.662211918,-10.38011587,-1.221771799,-4.062052254,-4.401598158,-1.680459346,-5.658706404,1.195507225,0.82220308,10.4697157,-2.813659936,9.046421809,5.681098839,3.397389294,0.384321632,-3.784671109,3.614480606,-4.802838906,-0.734829464,-5.386139364,4.032386785,0.297174514,1.398721874,2.439484001,1.252772308,-0.288803462,-0.696521877,0.367340831,3
-7.08870459,2.44559205,0.763854125,-4.824436786,-1.409910153,2.599864488,8.365833131,2.179414222,-8.195230104,-1.526631914,-3.674119313,-4.031161974,-0.742623373,-5.726255487,1.11234617,1.046622667,7.60450217,-1.120462112,6.213382399,2.768119786,1.335122753,-0.751705321,-4.07385919,1.143619388,-3.075528797,-1.095039431,-3.196317334,2.420894424,0.250156813,0.48516405,1.06113063,1.426776206,0.94179606,0.092239909,-1.043465416,6
-7.198923761,2.205173777,0.512312907,-4.890352072,-1.485589999,2.483277089,7.963682367,2.038710079,-8.091846165,-0.999637453,-3.649839616,-4.057306686,-0.519129837,-5.782396161,0.934112746,1.053869835,7.27552431,-0.946914739,6.179636843,2.757835847,1.054685479,-0.575979396,-3.88802524,1.347560925,-2.809801952,-1.15890561,-3.472693802,2.743754358,0.306449308,0.095829955,0.882809192,1.468868679,0.782363139,-0.050531277,-0.857328419,8
-2.31990518,6.872973401,1.77496184,0.819405595,-1.613815057,1.050715604,9.751580387,5.293541733,-10.4823712,1.368553668,-4.758067766,-4.482582373,-3.301618675,-6.251294759,0.342454804,1.199090672,11.30933744,-1.535534782,9.105700706,6.389061782,0.576454467,1.064619794,-5.191216435,3.086408495,-4.645508682,-1.217099541,-6.051516688,2.05955337,-0.816384426,-0.170996068,4.020559652,-1.48803834,0.387859211,-0.046827445,-1.310478569,4
-5.347290006,4.796407171,0.007822662,-2.579558568,-1.504611629,1.768582968,7.919651254,3.881666408,-9.178300923,0.438734569,-5.230796328,-3.759906708,-1.283665271,-5.587489275,0.270596741,1.51694697,8.54067033,-1.389294333,7.617438384,3.605091822,0.088436824,1.33882734,-4.437467813,1.733284979,-3.123352114,-0.323700969,-4.152334985,1.918140574,0.022086337,0.611969733,1.847064486,-0.465368698,-0.179786959,0.864124047,-0.880503517,4
-6.780729883,2.973201991,1.376625559,-4.108200903,-1.870746524,2.119825249,9.208856745,2.674360937,-8.68777038,-1.128709786,-3.500324089,-4.598810585,-1.080344752,-6.276243711,1.010067415,0.858827265,8.157911424,-1.074356886,6.742591731,4.03561159,1.593394273,-0.36089587,-4.046527747,1.265332604,-3.463380719,-1.528368721,-3.972124602,2.960787476,0.489961674,-0.011669867,1.237380584,1.415910074,1.042945822,-0.193659264,-1.228379817,7
-5.347541455,4.191423966,2.521069042,-2.621860638,-2.279480441,1.592405847,10.4766217,3.412419685,-9.728603538,-0.590491703,-2.707204012,-5.184866857,-2.370191273,-7.156322708,0.912061994,0.533503243,9.695349768,-0.738932545,7.713451943,6.190653576,2.094374064,-0.382957017,-4.593137056,1.534674829,-4.684108626,-2.503430751,-5.236383056,3.493168132,0.995086949,-0.737715421,2.198528427,1.357563177,1.931822209,-0.710650144,-1.758815803,7
-5.155693368,4.048837162,2.327243785,-2.281376696,-2.295073024,1.646478552,10.1544089,3.586474936,-9.386625947,-0.498235167,-2.969130591,-5.47547085,-2.381540635,-7.008446272,0.947013573,0.131370821,9.997229325,-0.89640849,7.614930393,6.23046167,2.031489791,-0.651274289,-4.848264894,1.712062497,-4.236681632,-2.128066763,-5.442043025,3.097701847,0.335041483,-0.699718878,2.274305717,1.437745315,2.09079182,-0.489834778,-1.803799517,5
-6.823843919,2.851286394,1.255037593,-4.262073224,-1.818093362,2.095145192,9.155764292,2.613023143,-8.70960187,-1.090997209,-3.468819769,-4.549131754,-1.110154422,-6.252954327,1.06063972,0.82094036,8.085898595,-1.03025167,6.767042826,3.919447016,1.59381958,-0.374956848,-4.039073735,1.222224277,-3.437202413,-1.524349544,-4.017993365,3.038917084,0.570218166,-0.002871289,1.187673282,1.443148289,1.11402285,-0.214116272,-1.137632211,6
-8.06049274,1.359113848,-0.004727153,-5.856203935,-1.360001264,2.866559243,7.372382099,1.7745107,-7.958164183,-1.573882297,-3.533711069,-4.018482352,-0.458766512,-5.577332541,1.006800702,1.157588647,6.619916367,-0.897461002,5.589712206,1.943591048,1.288465914,-0.667425347,-3.937266741,0.852127836,-2.950177555,-1.095430549,-3.010273561,2.923874473,0.646171566,0.063464303,0.920470671,1.800346049,0.730905157,0.268684425,-0.520542992,8
-7.596257164,1.39330854,0.266325551,-5.49160632,-1.060970333,2.710067876,7.32875655,1.484596219,-7.697967542,-0.980924409,-3.603188838,-3.89600419,-0.265577962,-5.234018777,1.002519009,1.01004686,6.644779777,-1.042723917,5.772858431,1.788503721,1.031883602,-0.548818972,-3.892529163,1.165306016,-2.331671923,-0.785127624,-2.966192968,2.485912094,0.404701486,0.307357204,0.741335803,1.76796293,0.637769042,0.100984104,-0.730144922,6
-8.405940655,0.542929722,0.216507822,-5.00072181,-2.251899328,1.729036941,8.341382294,1.470457932,-7.962874055,-1.108765286,-3.4512646,-3.354764404,0.340411696,-4.86330506,1.329081802,0.919185061,7.060042577,-2.335600773,5.940722902,1.981852121,1.965685268,-0.76917573,-4.275747452,1.483244582,-3.499625186,-0.478033969,-2.79818842,2.998348538,0.774428521,1.658881127,0.645936846,1.712663436,0.193860453,-0.043160917,0.145473848,4
