0,1,2,Final_Marks
-6.250913,4.6210985,-9.174954,6
-7.192444,5.5384893,-10.5728035,5
-7.9692054,6.607616,-11.322201,5
-8.052051,6.33571,-11.440454,5
-7.18807,5.4500065,-10.421181,5
-5.4827976,4.0596986,-10.113279,8
-6.9164658,4.694601,-11.025982,5
-5.7332315,4.443727,-10.103505,6
-6.9420147,5.7459617,-10.560548,6
-5.353786,4.0793405,-10.055769,6
-7.214966,5.5308867,-10.517529,5
-7.4448915,5.613938,-9.941882,8
-6.8960633,6.73021,-9.832301,8
-6.468245,5.2499514,-10.289738,5
-5.8690085,4.3469453,-9.368134,5
-5.028882,3.969198,-9.921867,4
-6.5191693,5.326327,-10.392583,5
-5.3406687,3.6831439,-10.148939,8
-6.6931634,5.7401466,-10.258344,6
-5.3697047,4.5534186,-10.903671,6
-6.6968637,6.2053576,-10.302416,7
-6.75474,5.757257,-9.768452,5
-5.2417784,4.601243,-11.074139,6
-7.2924824,5.1323624,-10.170367,6
-6.4833307,4.466203,-10.184294,5
-5.9237165,4.8101897,-10.01801,5
-6.511581,4.479031,-10.220859,8
-8.053822,6.0946794,-10.512154,6
8.034751,0.058092073,13.82271,7
7.3015184,-0.58473253,13.541134,6
7.922961,-0.64718837,12.021463,4
8.761622,0.43629137,11.811906,6
7.6548953,-1.1307498,13.631584,5
8.712605,0.03424213,13.00297,6
7.6402164,-0.6447955,11.968034,5
9.102716,-0.23702775,14.7552185,4
8.170212,-0.095014766,13.578327,8
7.516868,-0.27980646,12.393307,5
8.357346,-0.51538616,13.791958,6
7.8263144,-0.8071754,12.343954,6
7.288638,-0.42232418,12.644662,6
8.171452,-0.46908608,13.128032,6
6.715601,0.41490912,12.829155,7
7.9616265,-0.21090686,12.90008,6
7.8758926,-0.66185147,13.135672,5
7.022587,-1.0931333,12.0744295,3
8.383152,-1.413358,13.272637,6
9.102284,-0.20934935,14.742192,6
8.607274,-0.916409,12.450614,6
7.1976857,-0.6249587,11.655583,6
6.70374,0.47167695,12.8655815,5
9.090704,-0.1873186,14.72877,4
7.312888,-0.5222989,11.896122,5
8.025236,-0.28957543,13.55364,6
8.703054,-0.27884713,13.889948,5
7.772923,-1.1873186,11.923716,6
8.231023,-0.7395452,12.808462,5
7.53981,-0.7682246,12.72506,6
8.944561,-0.8179152,14.863543,4
8.488829,-0.52336067,13.442794,8
8.845668,0.38026696,13.496374,5
7.786224,-0.7554494,12.311515,5
7.8341837,-1.4285034,13.045339,5
8.993605,-0.7900295,13.022146,6
7.1619625,-2.0653229,12.940163,5
8.221665,-0.2936972,13.125289,5
8.114438,-0.66370463,13.370131,5
7.4376307,-0.9693915,12.458583,4
2.1933825,14.616203,-7.974798,8
1.5580634,13.888971,-7.730171,4
2.3035016,14.45101,-7.683801,6
3.059553,15.523078,-8.837203,5
2.1111841,14.235876,-8.432112,8
2.3078365,14.107326,-8.803598,7
1.9041995,13.013388,-9.694445,6
1.0840251,14.735049,-7.4896183,5
1.7785598,14.481601,-9.044447,5
1.9361131,13.894624,-8.191837,5
3.152368,15.2766075,-8.393955,6
1.4732006,13.707121,-8.876381,7
1.2377557,14.607584,-8.185304,8
2.2940607,14.508372,-6.3427224,6
1.5327787,13.509834,-8.355188,6
1.8897693,14.852618,-8.362,5
