0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Final_Marks
-4.204902312,4.663075954,0.849614609,2.51471645,-1.994342329,-6.475269587,-2.090314399,2.808498054,1.770861733,3.108652342,0.9656161,0.758847932,7.036275328,3.075618858,-1.392107032,-5.101728438,6.4731593,-2.313603839,-1.775586186,6.700388132,-5.643282356,-6.10822412,0.71442113,-0.980592955,-1.10476292,-1.244654383,-2.156697438,5
-4.931267758,4.329241449,0.786386876,1.185910514,-2.528992887,-6.464114268,-1.665905323,2.662091678,1.47699415,2.964757936,1.0246783,0.730702724,6.802536359,3.615411222,-1.662431003,-4.900831184,6.291988394,-2.193742712,-1.792063707,5.871252009,-5.100304563,-5.743943042,0.524695633,-0.546977623,-1.224898983,-0.892768964,-1.919891178,6
-4.970041152,4.538167341,0.904174993,1.44946895,-2.526966241,-6.573636247,-1.524747305,2.882492543,1.238777535,2.971184144,0.914081863,0.912218489,6.918825514,3.579980126,-1.631052902,-4.680377101,6.461222378,-2.284941489,-1.619725773,5.618676551,-5.323962932,-5.450083048,0.80563834,-0.626157631,-1.247011806,-1.27498109,-2.019290435,8
-2.198459898,0.112467025,4.109100119,-8.302595322,0.979792253,-1.129873702,-2.505227036,2.847495199,1.844215385,-1.257723439,-8.228040525,-0.483841058,0.307359389,2.891711087,-1.797882824,2.9993974,-1.043399992,1.348377711,0.4270907,0.408787579,1.919838556,1.93975327,4.400870137,1.249677679,0.319814318,-0.189146655,-2.715449453,5
-1.957237362,0.066557981,4.188449303,-8.155141058,1.123944319,-1.091745611,-2.730138443,2.928406314,1.856354982,-1.032322459,-8.185440524,-0.644240046,0.14396531,2.71398138,-2.08894421,2.926065412,-1.056231264,1.49816194,0.583817414,0.345549559,1.888986601,1.932490353,4.19674114,1.373216193,0.369319933,-0.244487693,-2.759501624,6
-5.679015955,0.596423841,2.388175086,-9.542093012,1.501939357,-2.816453894,-0.54678474,2.667401372,1.356418841,-1.430277406,-7.747604355,-0.560562695,0.701354791,3.343298596,-1.422901746,2.18301146,-1.361655929,0.192418969,-0.0880408,-0.211188303,1.998525304,1.654269544,3.30265395,1.616053668,0.1625022,0.080674777,-1.852150984,8
-2.312123154,0.08630301,4.070464042,-8.264436847,0.953369824,-1.158225205,-2.408213067,2.868612961,1.850316235,-1.302795365,-8.23957174,-0.510325411,0.337106065,2.97028103,-1.780606572,3.018910641,-1.088886009,1.329792623,0.400078644,0.37271464,1.850520481,1.95187929,4.547258762,1.242799514,0.322045114,-0.213078048,-2.662866752,5
-2.559705455,0.0694513,3.958495317,-8.325444214,0.908007446,-1.558933334,-2.388621088,2.813047529,1.973523343,-1.256504326,-8.045514629,-0.620915514,0.385087496,2.8622546,-1.892653832,2.796839478,-1.007157078,1.251030977,0.39891136,0.354477803,1.900905231,1.836464841,4.32655396,1.373843835,0.298428692,-0.122110415,-2.481193217,7
-5.977442553,0.662719253,2.091077234,-9.646792026,1.57084397,-3.026439947,-0.41570338,2.642368655,1.308359837,-1.532264556,-7.612191555,-0.62835206,0.806539347,3.412618498,-1.376725835,1.977540356,-1.311268415,0.13315762,-0.03438767,-0.365281384,2.008383121,1.531735206,3.041818553,1.620778757,0.160580138,0.101753353,-1.72534069,9
-2.645781499,0.204982371,4.036806257,-8.60654347,1.029392176,-1.551622826,-2.502806579,2.874856711,2.036697848,-1.127646255,-8.169581612,-0.581418136,0.273411008,2.788315911,-2.025137008,2.889574122,-1.09847992,1.247457863,0.478654285,0.280225099,1.97867099,1.809624583,4.225958022,1.319230094,0.206953466,-0.020868669,-2.619455967,7
-2.415949231,0.108308308,3.996026656,-8.363430189,0.995906242,-1.236593506,-2.387177542,2.834899367,1.866530458,-1.276637315,-8.204688397,-0.491753229,0.334844086,2.944229244,-1.789842199,2.973807731,-1.092021657,1.255099157,0.402795751,0.368208248,1.848478737,1.935132788,4.460750741,1.277640624,0.332836515,-0.223083288,-2.627824503,5
-2.907551161,0.17866823,3.855989515,-8.53145201,0.824720026,-1.608205054,-2.132563993,2.921399363,1.779363977,-1.259564469,-8.183766315,-0.547684861,0.500059541,3.04329412,-1.856098557,3.094926672,-1.096248548,1.002535473,0.233522501,0.167969838,1.858309653,2.000507042,4.388231723,1.493320465,0.258074305,-0.333134788,-2.537298569,7
-5.69041481,0.42806301,1.467027457,-9.171481013,2.023755469,-3.164806179,-0.255620639,2.764441259,1.36513421,-1.228120693,-6.91192703,-0.733512394,0.551331066,3.232719264,-1.161337568,1.328758417,-1.09493909,0.339206146,-0.095126413,-0.332672223,1.778507604,1.323047216,2.622864545,1.408207379,0.518995028,0.579380814,-1.471830847,6
-2.881986271,0.296323958,3.861650801,-8.521803587,1.036325343,-1.501374933,-2.236157673,2.883342251,1.854799972,-1.255545993,-8.166296502,-0.450838177,0.39178802,2.930368665,-1.780862762,2.878308366,-1.028671381,1.166299182,0.382301797,0.275712738,1.875090736,1.860596271,4.31480938,1.268526437,0.30147801,-0.147476921,-2.536409473,6
-5.840760064,0.671557153,2.271521729,-9.699013571,1.468990685,-2.997876883,-0.486035886,2.610974157,1.398643146,-1.55061458,-7.640400161,-0.574435322,0.812656538,3.396024749,-1.325820884,2.078072633,-1.306354657,0.236674549,-0.075225977,-0.24813498,2.080914045,1.612578438,3.203504036,1.483036629,0.143488671,0.248960054,-1.671185283,6
-3.889946695,0.535373654,3.02593329,-8.673267696,1.358121504,-2.2314082,-1.751691966,2.817713424,1.554121411,-1.014234853,-8.049956381,-0.678053874,0.514065457,3.025264241,-1.28385628,2.529439775,-1.052090562,0.652803871,0.088504667,0.248189254,1.997506946,1.740342351,3.688118593,1.525639947,0.428347223,0.292160128,-2.169757722,6
-3.738954922,0.657588471,3.031932047,-8.74695618,1.298928971,-1.996901595,-1.455039834,2.831939775,1.689910592,-1.200728061,-7.576203324,-0.548684554,0.252880715,2.989899711,-1.659207187,2.415740533,-1.090110189,0.883379102,0.315767242,-0.055887011,1.979460242,1.623945807,3.608998521,1.262798148,0.455244499,0.065785181,-2.255955935,5
3.862741119,-0.933117522,7.393622394,-5.190371605,-0.444071183,1.040807377,-5.758903361,3.459431706,2.681038007,-0.253070086,-8.093477832,-1.38284681,-0.884797792,1.908359002,-2.980978589,2.942371266,-0.608465388,3.831251404,1.562991655,1.516339582,1.447790766,2.852179522,5.478236081,0.760863917,0.664640369,-1.110029288,-3.6099981,5
1.751401619,-0.229518973,6.229176124,-6.046107543,0.368438441,0.333768242,-4.160702236,3.604075929,2.616623555,-0.70867424,-8.014789963,-0.896397797,-0.195491999,2.279892761,-2.516597299,2.916885076,-0.435380328,2.893549454,1.41627745,0.799240131,1.49287437,2.370667869,5.001403044,0.95128965,0.508922365,-0.487289585,-3.057612892,5
-2.513872014,0.102161709,3.969852288,-8.336640593,0.982383142,-1.251019121,-2.309529296,2.838296628,1.846225391,-1.329502515,-8.206671835,-0.510626297,0.377707295,3.00909258,-1.789891974,2.977739982,-1.106279895,1.258476609,0.367547146,0.326083867,1.845791299,1.930025819,4.496265389,1.244738787,0.307384757,-0.193104505,-2.597279564,5
-2.724276573,0.15809289,4.079884553,-8.444522101,1.019305287,-1.595644953,-2.462266238,2.884563919,1.959688775,-1.106951244,-8.260715311,-0.699637627,0.275637698,2.795145175,-2.100782286,2.934097763,-1.177762005,1.165816037,0.455468992,0.272825263,1.849526195,1.840521349,4.232999457,1.439566527,0.235754622,-0.270078901,-2.620178667,8
